Full Name,Rating,Team,Era
Allen Iverson,98,All-Time 76ers,2000s
Dr. J (Julius Erving),97,All-Time 76ers,80s
Wilt Chamberlain,98,All-Time 76ers,60s
Moses Malone,95,All-Time 76ers,80s
Charles Barkley,94,All-Time 76ers,80s
Hal Greer,92,All-Time 76ers,60s
Bobby Jones,88,All-Time 76ers,80s
Andrew Toney,86,All-Time 76ers,80s
Jrue Holiday,86,All-Time 76ers,2010s
Joel Embiid,96,All-Time 76ers,2020s
Ben Simmons,84,All-Time 76ers,2010s
Tobias Harris,83,All-Time 76ers,2020s
Dikembe Mutombo,90,All-Time 76ers,2000s
Aaron McKie,85,All-Time 76ers,2000s
Eric Snow,84,All-Time 76ers,2000s
