Full Name,Rating,Team,Era
Kareem Abdul-Jabbar,98,All-Time Bucks,70s
Giannis Antetokounmpo,98,All-Time Bucks,2020s
Oscar Robertson,95,All-Time Bucks,70s
Ray Allen,90,All-Time Bucks,2000s
Sidney Moncrief,92,All-Time Bucks,80s
Bob Dandridge,90,All-Time Bucks,70s
Khris Middleton,86,All-Time Bucks,2020s
Brandon Jennings,84,All-Time Bucks,2010s
Michael Redd,88,All-Time Bucks,2000s
Andrew Bogut,85,All-Time Bucks,2010s
Brook Lopez,85,All-Time Bucks,2020s
Terry Cummings,88,All-Time Bucks,80s
Paul Pressey,86,All-Time Bucks,80s
Glenn Robinson,87,All-Time Bucks,90s
Bobby Portis,84,All-Time Bucks,2020s
