Full Name,Rating,Team,Era
Michael Jordan,99,All-Time Bulls,90s
Scottie Pippen,97,All-Time Bulls,90s
Derrick Rose,94,All-Time Bulls,2010s
Dennis Rodman,92,All-Time Bulls,90s
Jimmy Butler,90,All-Time Bulls,2010s
Artis Gilmore,91,All-Time Bulls,70s
Toni Kukoc,90,All-Time Bulls,90s
Horace Grant,88,All-Time Bulls,90s
Bob Love,87,All-Time Bulls,70s
Chet Walker,88,All-Time Bulls,70s
Luol Deng,84,All-Time Bulls,2000s
Joakim Noah,88,All-Time Bulls,2010s
Zach LaVine,86,All-Time Bulls,2020s
Ron Harper,85,All-Time Bulls,90s
Jerry Sloan,86,All-Time Bulls,60s
