Full Name,Rating,Team,Era
LeBron James,99,All-Time Cavaliers,2010s
Kyrie Irving,92,All-Time Cavaliers,2010s
Mark Price,92,All-Time Cavaliers,90s
Brad Daugherty,91,All-Time Cavaliers,80s
Zydrunas Ilgauskas,88,All-Time Cavaliers,2000s
Kevin Love,87,All-Time Cavaliers,2010s
Larry Nance Sr.,88,All-Time Cavaliers,80s
Shawn Kemp,89,All-Time Cavaliers,90s
Darius Garland,88,All-Time Cavaliers,2020s
Donovan Mitchell,93,All-Time Cavaliers,2020s
Evan Mobley,86,All-Time Cavaliers,2020s
Anderson Varejao,85,All-Time Cavaliers,2010s
J.R. Smith,84,All-Time Cavaliers,2010s
Daniel Gibson,82,All-Time Cavaliers,2000s
Craig Ehlo,83,All-Time Cavaliers,80s
