Full Name,Rating,Team,Era
Bill Russell,99,All-Time Celtics,60s
Larry Bird,98,All-Time Celtics,80s
Paul Pierce,94,All-Time Celtics,2000s
Kevin Garnett,96,All-Time Celtics,2000s
John Havlicek,95,All-Time Celtics,60s
Bob Cousy,95,All-Time Celtics,50s
Ray Allen,90,All-Time Celtics,2000s
Robert Parish,92,All-Time Celtics,80s
Kevin McHale,92,All-Time Celtics,80s
Dennis Johnson,91,All-Time Celtics,80s
Jayson Tatum,94,All-Time Celtics,2020s
Jaylen Brown,90,All-Time Celtics,2020s
Dave Cowens,90,All-Time Celtics,70s
Rajon Rondo,88,All-Time Celtics,2010s
Tom Heinsohn,89,All-Time Celtics,60s
