Full Name,Rating,Team,Era
Chris Paul,94,All-Time Clippers,2010s
Blake Griffin,90,All-Time Clippers,2010s
Kawhi Leonard,95,All-Time Clippers,2010s
Paul George,92,All-Time Clippers,2010s
DeAndre Jordan,88,All-Time Clippers,2010s
Bob McAdoo,93,All-Time Clippers,70s
Elton Brand,90,All-Time Clippers,2000s
Danny Manning,88,All-Time Clippers,90s
Lamar Odom,85,All-Time Clippers,2000s
Zach Randolph,86,All-Time Clippers,2000s
JJ Redick,84,All-Time Clippers,2010s
Corey Maggette,85,All-Time Clippers,2000s
Chris Kaman,84,All-Time Clippers,2000s
Eric Bledsoe,83,All-Time Clippers,2010s
Milos Teodosic,80,All-Time Clippers,2010s
