Full Name,Rating,Team,Era
Marc Gasol,91,All-Time Grizzlies,2010s
Pau Gasol,90,All-Time Grizzlies,2000s
Zach Randolph,89,All-Time Grizzlies,2010s
Mike Conley,88,All-Time Grizzlies,2010s
Ja Morant,93,All-Time Grizzlies,2020s
Jaren Jackson Jr.,86,All-Time Grizzlies,2020s
Shane Battier,85,All-Time Grizzlies,2000s
Rudy Gay,86,All-Time Grizzlies,2010s
Mike Miller,84,All-Time Grizzlies,2000s
Tony Allen,86,All-Time Grizzlies,2010s
Brandon Clarke,83,All-Time Grizzlies,2020s
O.J. Mayo,82,All-Time Grizzlies,2010s
Steven Adams,84,All-Time Grizzlies,2020s
Shareef Abdur-Rahim,88,All-Time Grizzlies,2000s
Jason Williams,87,All-Time Grizzlies,2000s
