Full Name,Rating,Team,Era
Dominique Wilkins,96,All-Time Hawks,80s
Bob Pettit,96,All-Time Hawks,50s
Trae Young,90,All-Time Hawks,2020s
Joe Johnson,88,All-Time Hawks,2000s
Dikembe Mutombo,91,All-Time Hawks,90s
Cliff Hagan,90,All-Time Hawks,60s
Al Horford,86,All-Time Hawks,2010s
Paul Millsap,85,All-Time Hawks,2010s
Doc Rivers,84,All-Time Hawks,80s
Steve Smith,86,All-Time Hawks,90s
Zaza Pachulia,80,All-Time Hawks,2010s
Jeff Teague,83,All-Time Hawks,2010s
Josh Smith,86,All-Time Hawks,2000s
Kevin Willis,87,All-Time Hawks,90s
Spud Webb,85,All-Time Hawks,80s
