Full Name,Rating,Team,Era
Dwyane Wade,98,All-Time Heat,2000s
LeBron James,98,All-Time Heat,2010s
Shaquille O'Neal,96,All-Time Heat,2000s
Jimmy Butler,92,All-Time Heat,2020s
Chris Bosh,90,All-Time Heat,2010s
Alonzo Mourning,93,All-Time Heat,90s
Tim Hardaway,90,All-Time Heat,90s
Glen Rice,88,All-Time Heat,90s
Bam Adebayo,89,All-Time Heat,2020s
Ray Allen,89,All-Time Heat,2010s
Udonis Haslem,82,All-Time Heat,2000s
Mario Chalmers,82,All-Time Heat,2010s
Ricky Davis,80,All-Time Heat,2000s
Jamal Mashburn,88,All-Time Heat,90s
Antoine Walker,85,All-Time Heat,2000s
