Full Name,Rating,Team,Era
Larry Johnson,90,All-Time Hornets,90s
Kemba Walker,88,All-Time Hornets,2010s
Alonzo Mourning,90,All-Time Hornets,90s
Glen Rice,88,All-Time Hornets,90s
Muggsy Bogues,87,All-Time Hornets,90s
Dell Curry,85,All-Time Hornets,90s
Gerald Wallace,86,All-Time Hornets,2000s
Eddie Jones,87,All-Time Hornets,2000s
LaMelo Ball,88,All-Time Hornets,2020s
Brandon Miller,82,All-Time Hornets,2020s
Bobby Phills,84,All-Time Hornets,90s
Jamal Mashburn,87,All-Time Hornets,2000s
Baron Davis,88,All-Time Hornets,2000s
P.J. Washington,83,All-Time Hornets,2020s
Anthony Mason,86,All-Time Hornets,90s
