Full Name,Rating,Team,Era
Karl Malone,98,All-Time Jazz,90s
John Stockton,98,All-Time Jazz,90s
Donovan Mitchell,92,All-Time Jazz,2020s
Rudy Gobert,90,All-Time Jazz,2020s
Deron Williams,89,All-Time Jazz,2010s
Adrian Dantley,92,All-Time Jazz,80s
Mark Eaton,88,All-Time Jazz,80s
Jeff Hornacek,87,All-Time Jazz,90s
Carlos Boozer,86,All-Time Jazz,2000s
Bojan Bogdanovic,84,All-Time Jazz,2020s
Joe Ingles,84,All-Time Jazz,2020s
Thurl Bailey,85,All-Time Jazz,80s
Alec Burks,82,All-Time Jazz,2010s
Darrell Griffith,88,All-Time Jazz,80s
Lauri Markkanen,88,All-Time Jazz,2020s
