Full Name,Rating,Team,Era
Oscar Robertson,96,All-Time Kings,60s
Chris Webber,93,All-Time Kings,2000s
Peja Stojakovic,90,All-Time Kings,2000s
Mike Bibby,88,All-Time Kings,2000s
DeAaron Fox,90,All-Time Kings,2020s
Domantas Sabonis,88,All-Time Kings,2020s
Zach Randolph,87,All-Time Kings,2010s
Doug Christie,86,All-Time Kings,2000s
Brad Miller,86,All-Time Kings,2000s
Beno Udrih,83,All-Time Kings,2000s
Rudy Gay,85,All-Time Kings,2010s
Hedo Turkoglu,84,All-Time Kings,2000s
Tyrese Haliburton,89,All-Time Kings,2020s
Kevin Martin,85,All-Time Kings,2000s
Lionel Simmons,86,All-Time Kings,90s
