Full Name,Rating,Team,Era
Patrick Ewing,97,All-Time Knicks,90s
Walt Frazier,96,All-Time Knicks,70s
Willis Reed,95,All-Time Knicks,70s
Carmelo Anthony,93,All-Time Knicks,2010s
Earl Monroe,94,All-Time Knicks,70s
Charles Oakley,90,All-Time Knicks,90s
John Starks,88,All-Time Knicks,90s
Mark Jackson,88,All-Time Knicks,90s
Julius Randle,86,All-Time Knicks,2020s
Jalen Brunson,90,All-Time Knicks,2020s
Latrell Sprewell,90,All-Time Knicks,2000s
Amar'e Stoudemire,89,All-Time Knicks,2010s
Allan Houston,87,All-Time Knicks,2000s
Dave DeBusschere,92,All-Time Knicks,70s
Tyson Chandler,86,All-Time Knicks,2010s
