Full Name,Rating,Team,Era
Magic Johnson,98,All-Time Lakers,80s
Kobe Bryant,98,All-Time Lakers,2000s
Shaquille O'Neal,98,All-Time Lakers,2000s
Kareem Abdul-Jabbar,97,All-Time Lakers,70s
LeBron James,96,All-Time Lakers,2010s
Jerry West,96,All-Time Lakers,60s
Elgin Baylor,95,All-Time Lakers,60s
James Worthy,90,All-Time Lakers,80s
Anthony Davis,89,All-Time Lakers,2020s
Pau Gasol,88,All-Time Lakers,2000s
Lamar Odom,84,All-Time Lakers,2000s
Derek Fisher,83,All-Time Lakers,2000s
Robert Horry,83,All-Time Lakers,2000s
AC Green,82,All-Time Lakers,80s
Byron Scott,85,All-Time Lakers,80s
