Full Name,Rating,Team,Era
Shaquille O'Neal,95,All-Time Magic,90s
Penny Hardaway,94,All-Time Magic,90s
Dwight Howard,95,All-Time Magic,2000s
Tracy McGrady,96,All-Time Magic,2000s
Nick Anderson,88,All-Time Magic,90s
Jameer Nelson,86,All-Time Magic,2000s
Hedo Turkoglu,85,All-Time Magic,2000s
Rashard Lewis,86,All-Time Magic,2000s
Mark Price,87,All-Time Magic,90s
Dennis Scott,88,All-Time Magic,90s
Horace Grant,86,All-Time Magic,90s
Paolo Banchero,90,All-Time Magic,2020s
Franz Wagner,87,All-Time Magic,2020s
Anfernee Hardaway Sr.,83,All-Time Magic,90s
Steve Francis,85,All-Time Magic,2000s
