Full Name,Rating,Team,Era
Dirk Nowitzki,98,All-Time Mavericks,2000s
Luka Doncic,97,All-Time Mavericks,2020s
Steve Nash,94,All-Time Mavericks,2000s
Jason Kidd,93,All-Time Mavericks,2010s
Mark Aguirre,90,All-Time Mavericks,80s
Rolando Blackman,89,All-Time Mavericks,80s
Michael Finley,88,All-Time Mavericks,2000s
Shawn Marion,86,All-Time Mavericks,2010s
Tyson Chandler,87,All-Time Mavericks,2010s
Derek Harper,87,All-Time Mavericks,90s
Josh Howard,85,All-Time Mavericks,2000s
Devin Harris,83,All-Time Mavericks,2000s
JJ Barea,82,All-Time Mavericks,2010s
Kristaps Porzingis,85,All-Time Mavericks,2020s
James Donaldson,84,All-Time Mavericks,80s
