Full Name,Rating,Team,Era
Jason Kidd,95,All-Time Nets,2000s
Kyrie Irving,92,All-Time Nets,2020s
Kevin Durant,97,All-Time Nets,2020s
Vince Carter,93,All-Time Nets,2000s
Buck Williams,90,All-Time Nets,80s
Julius Erving,97,All-Time Nets,ABA
Kerry Kittles,86,All-Time Nets,90s
Richard Jefferson,87,All-Time Nets,2000s
Derrick Coleman,89,All-Time Nets,90s
Brook Lopez,88,All-Time Nets,2010s
Mikal Bridges,87,All-Time Nets,2020s
D’Angelo Russell,85,All-Time Nets,2010s
Kenyon Martin,88,All-Time Nets,2000s
Stephon Marbury,87,All-Time Nets,2000s
Keith Van Horn,86,All-Time Nets,2000s
