Full Name,Rating,Team,Era
Nikola Jokic,99,All-Time Nuggets,2020s
Carmelo Anthony,96,All-Time Nuggets,2000s
Alex English,95,All-Time Nuggets,80s
David Thompson,94,All-Time Nuggets,70s
Dan Issel,92,All-Time Nuggets,70s
Chauncey Billups,90,All-Time Nuggets,2000s
Fat Lever,89,All-Time Nuggets,80s
Kiki Vandeweghe,90,All-Time Nuggets,80s
Jamal Murray,88,All-Time Nuggets,2020s
Marcus Camby,86,All-Time Nuggets,2000s
Antonio McDyess,86,All-Time Nuggets,2000s
Andre Iguodala,85,All-Time Nuggets,2010s
Kenneth Faried,84,All-Time Nuggets,2010s
Ty Lawson,84,All-Time Nuggets,2010s
Nene,85,All-Time Nuggets,2000s
