Full Name,Rating,Team,Era
Kevin Durant,98,All-Time Thunder,2010s
Russell Westbrook,97,All-Time Thunder,2010s
James Harden,95,All-Time Thunder,2010s
Shai Gilgeous-Alexander,94,All-Time Thunder,2020s
Serge Ibaka,88,All-Time Thunder,2010s
Nick Collison,84,All-Time Thunder,2010s
Steven Adams,86,All-Time Thunder,2010s
Chris Paul,90,All-Time Thunder,2020s
Chet Holmgren,86,All-Time Thunder,2020s
Jalen Williams,85,All-Time Thunder,2020s
Derek Fisher,82,All-Time Thunder,2010s
Thabo Sefolosha,83,All-Time Thunder,2010s
Jeff Green,85,All-Time Thunder,2010s
Kendrick Perkins,84,All-Time Thunder,2010s
Paul George,92,All-Time Thunder,2010s
