Full Name,Rating,Team,Era
Reggie Miller,96,All-Time Pacers,90s
Paul George,92,All-Time Pacers,2010s
Mel Daniels,92,All-Time Pacers,70s
Jermaine O'Neal,90,All-Time Pacers,2000s
Danny Granger,87,All-Time Pacers,2000s
Rik Smits,88,All-Time Pacers,90s
George McGinnis,91,All-Time Pacers,70s
Myles Turner,86,All-Time Pacers,2020s
Domantas Sabonis,88,All-Time Pacers,2020s
Victor Oladipo,86,All-Time Pacers,2010s
Mark Jackson,88,All-Time Pacers,90s
Detlef Schrempf,87,All-Time Pacers,90s
T.J. McConnell,82,All-Time Pacers,2020s
Jalen Rose,86,All-Time Pacers,2000s
Dale Davis,85,All-Time Pacers,90s
