Full Name,Rating,Team,Era
Anthony Davis,94,All-Time Pelicans,2010s
Chris Paul,95,All-Time Pelicans,2000s
Zion Williamson,91,All-Time Pelicans,2020s
Brandon Ingram,88,All-Time Pelicans,2020s
CJ McCollum,85,All-Time Pelicans,2020s
Jrue Holiday,86,All-Time Pelicans,2010s
David West,88,All-Time Pelicans,2000s
Herbert Jones,84,All-Time Pelicans,2020s
Larry Nance Jr.,83,All-Time Pelicans,2020s
Eric Gordon,84,All-Time Pelicans,2010s
Tyson Chandler,86,All-Time Pelicans,2000s
Jamal Mashburn,87,All-Time Pelicans,2000s
Peja Stojakovic,88,All-Time Pelicans,2000s
Baron Davis,88,All-Time Pelicans,2000s
Lonzo Ball,83,All-Time Pelicans,2020s
