Full Name,Rating,Team,Era
Vince Carter,95,All-Time Raptors,2000s
Kyle Lowry,91,All-Time Raptors,2010s
Kawhi Leonard,97,All-Time Raptors,2010s
Chris Bosh,90,All-Time Raptors,2000s
DeMar DeRozan,89,All-Time Raptors,2010s
Pascal Siakam,88,All-Time Raptors,2020s
Fred VanVleet,85,All-Time Raptors,2020s
Marc Gasol,86,All-Time Raptors,2010s
Serge Ibaka,85,All-Time Raptors,2010s
Jose Calderon,84,All-Time Raptors,2000s
Antonio Davis,88,All-Time Raptors,2000s
Damon Stoudamire,88,All-Time Raptors,90s
OG Anunoby,86,All-Time Raptors,2020s
Jalen Rose,85,All-Time Raptors,2000s
Jonas Valanciunas,84,All-Time Raptors,2010s
