Full Name,Rating,Team,Era
Hakeem Olajuwon,99,All-Time Rockets,90s
James Harden,96,All-Time Rockets,2010s
Tracy McGrady,94,All-Time Rockets,2000s
Clyde Drexler,92,All-Time Rockets,90s
Yao Ming,92,All-Time Rockets,2000s
Ralph Sampson,90,All-Time Rockets,80s
Elvin Hayes,92,All-Time Rockets,70s
Otis Thorpe,88,All-Time Rockets,90s
Steve Francis,88,All-Time Rockets,2000s
Kenny Smith,85,All-Time Rockets,90s
Robert Horry,86,All-Time Rockets,90s
Trevor Ariza,84,All-Time Rockets,2010s
PJ Tucker,83,All-Time Rockets,2010s
Rudy Tomjanovich,87,All-Time Rockets,80s
Arvydas Sabonis,88,All-Time Rockets,90s
