Full Name,Rating,Team,Era
Tim Duncan,98,All-Time Spurs,2000s
Tony Parker,92,All-Time Spurs,2000s
Manu Ginobili,92,All-Time Spurs,2000s
David Robinson,96,All-Time Spurs,90s
Kawhi Leonard,94,All-Time Spurs,2010s
George Gervin,95,All-Time Spurs,80s
LaMarcus Aldridge,86,All-Time Spurs,2010s
Bruce Bowen,85,All-Time Spurs,2000s
Danny Green,83,All-Time Spurs,2010s
Fab Oberto,82,All-Time Spurs,2000s
Sean Elliott,88,All-Time Spurs,90s
Avery Johnson,86,All-Time Spurs,90s
Patty Mills,82,All-Time Spurs,2010s
Boris Diaw,84,All-Time Spurs,2010s
Stephen Jackson,85,All-Time Spurs,2000s
