Full Name,Rating,Team,Era
Steve Nash,96,All-Time Suns,2000s
Charles Barkley,95,All-Time Suns,90s
Kevin Johnson,92,All-Time Suns,90s
Amar'e Stoudemire,92,All-Time Suns,2000s
Shawn Marion,90,All-Time Suns,2000s
Paul Westphal,91,All-Time Suns,70s
Walter Davis,90,All-Time Suns,80s
Devin Booker,94,All-Time Suns,2020s
Kevin Durant,95,All-Time Suns,2020s
Chris Paul,92,All-Time Suns,2020s
Jason Kidd,90,All-Time Suns,90s
Dan Majerle,88,All-Time Suns,90s
Tom Chambers,89,All-Time Suns,80s
Deandre Ayton,84,All-Time Suns,2020s
Jeff Hornacek,87,All-Time Suns,90s
