Full Name,Rating,Team,Era
Kevin Garnett,99,All-Time Timberwolves,2000s
Karl-Anthony Towns,90,All-Time Timberwolves,2010s
Anthony Edwards,92,All-Time Timberwolves,2020s
Kevin Love,88,All-Time Timberwolves,2010s
Sam Cassell,88,All-Time Timberwolves,2000s
Ricky Rubio,85,All-Time Timberwolves,2010s
Latrell Sprewell,87,All-Time Timberwolves,2000s
Wally Szczerbiak,86,All-Time Timberwolves,2000s
Tom Gugliotta,86,All-Time Timberwolves,90s
Rudy Gobert,86,All-Time Timberwolves,2020s
Mike Conley,84,All-Time Timberwolves,2020s
Naz Reid,84,All-Time Timberwolves,2020s
Al Jefferson,87,All-Time Timberwolves,2000s
Terrell Brandon,86,All-Time Timberwolves,90s
Jimmy Butler,89,All-Time Timberwolves,2010s
