Full Name,Rating,Team,Era
Stephen Curry,99,All-Time Warriors,2010s
Klay Thompson,92,All-Time Warriors,2010s
Kevin Durant,97,All-Time Warriors,2010s
Draymond Green,90,All-Time Warriors,2010s
Wilt Chamberlain,99,All-Time Warriors,60s
Rick Barry,96,All-Time Warriors,70s
Chris Mullin,93,All-Time Warriors,90s
Nate Thurmond,92,All-Time Warriors,70s
Paul Arizin,92,All-Time Warriors,50s
Tim Hardaway,90,All-Time Warriors,90s
Baron Davis,88,All-Time Warriors,2000s
Mitch Richmond,89,All-Time Warriors,90s
Andre Iguodala,86,All-Time Warriors,2010s
Monta Ellis,87,All-Time Warriors,2000s
Andrew Wiggins,84,All-Time Warriors,2020s
