Full Name,Rating,Team,Era
Wes Unseld,96,All-Time Wizards,70s
Elvin Hayes,94,All-Time Wizards,70s
John Wall,92,All-Time Wizards,2010s
Bradley Beal,90,All-Time Wizards,2020s
Gilbert Arenas,92,All-Time Wizards,2000s
Juwan Howard,86,All-Time Wizards,90s
Caron Butler,86,All-Time Wizards,2000s
Rasheed Wallace,85,All-Time Wizards,90s
Richard Hamilton,86,All-Time Wizards,2000s
Kristaps Porzingis,85,All-Time Wizards,2020s
Larry Hughes,84,All-Time Wizards,2000s
Jeff Ruland,88,All-Time Wizards,80s
Phil Chenier,86,All-Time Wizards,70s
Antawn Jamison,88,All-Time Wizards,2000s
Rui Hachimura,83,All-Time Wizards,2020s
